# q	i	err
1.417999999999999990e-02 1.238206191428571461e-02 4.613787890000000183e-03
1.435999999999999950e-02 1.118325617142856658e-02 4.795713645428570891e-03
1.454000000000000084e-02 9.671331471428569818e-03 4.851910385428571081e-03
1.471899999999999945e-02 9.719378900000002347e-03 4.852174848428571219e-03
1.489900000000000078e-02 9.723672585714283542e-03 4.568343612142857987e-03
1.507900000000000039e-02 1.003745081428570989e-02 4.229038075428572310e-03
1.525899999999999999e-02 1.019606207142856845e-02 3.985992592571428392e-03
1.543800000000000033e-02 8.772658414285712525e-03 4.195132511428571222e-03
1.561799999999999994e-02 9.625934014285714158e-03 4.146064342428571262e-03
1.579799999999999954e-02 9.734198614285713771e-03 4.241441018857142718e-03
1.597799999999999915e-02 1.063771462857142532e-02 4.093358633571428894e-03
1.615700000000000122e-02 9.085507214285715519e-03 3.871606346142857091e-03
1.633700000000000083e-02 7.443728399999997684e-03 4.269376476571428228e-03
1.651700000000000043e-02 7.660691028571427197e-03 4.692863572999999254e-03
1.669700000000000004e-02 7.820887542857143243e-03 4.387576008857143120e-03
1.687699999999999964e-02 8.966871714285715167e-03 4.184412112857143103e-03
1.705600000000000172e-02 7.825928357142856312e-03 4.465610083714286437e-03
1.723600000000000132e-02 8.757794842857144491e-03 4.263613221571428170e-03
1.741600000000000092e-02 9.018724942857143587e-03 3.825442524428571394e-03
1.759600000000000053e-02 7.734414328571428097e-03 3.770782971000000323e-03
1.777499999999999913e-02 6.912070371428568651e-03 3.574148380571428620e-03
1.795499999999999874e-02 8.527237985714284513e-03 3.726040439999999451e-03
1.813499999999999834e-02 8.700117275714288473e-03 3.491088274857142952e-03
1.831500000000000142e-02 7.480672011428569738e-03 3.566307642285714528e-03
1.849400000000000002e-02 6.883808597142852467e-03 3.910770334142857525e-03
1.867399999999999963e-02 6.731701429999997939e-03 4.036280566142857150e-03
1.885399999999999923e-02 8.185351865714281944e-03 3.741085220714286154e-03
1.903399999999999884e-02 6.918765127142858205e-03 4.084262534714285832e-03
1.921300000000000091e-02 6.198179118571429426e-03 3.663614552857142378e-03
1.939300000000000052e-02 6.214347587142858044e-03 3.578002544571429015e-03
1.957300000000000012e-02 6.469563815714285404e-03 3.210156238571428271e-03
1.975299999999999973e-02 7.476823157142857383e-03 3.579911170571428800e-03
1.993199999999999833e-02 6.808587755714287648e-03 3.096828239714286002e-03
2.011200000000000140e-02 5.951814968571424169e-03 3.274781014857142906e-03
2.029200000000000101e-02 6.475706832857144706e-03 3.377176015999999899e-03
2.047200000000000061e-02 6.652329107142861651e-03 3.310103520857143010e-03
2.065099999999999922e-02 6.608936660000002718e-03 3.584149169428571449e-03
2.083099999999999882e-02 6.108377712857142143e-03 3.823302188142856974e-03
2.101099999999999843e-02 6.009352004285714935e-03 3.768421310142856806e-03
2.119100000000000150e-02 6.398711525714287709e-03 3.242989467714285211e-03
2.137100000000000111e-02 6.127206379999998974e-03 3.183219663000000539e-03
2.154999999999999971e-02 6.010730791428569968e-03 2.916451775714285800e-03
2.172999999999999932e-02 6.111332602857144115e-03 2.846746793714285528e-03
2.190999999999999892e-02 5.776076310000001143e-03 3.346150733000000099e-03
2.208999999999999853e-02 6.291916048571428825e-03 3.354454775857143058e-03
2.226900000000000060e-02 5.938553207142855013e-03 2.912432634142856670e-03
2.244900000000000020e-02 5.956135102857143364e-03 2.998018647285714041e-03
2.262899999999999981e-02 5.774906819999999982e-03 3.481638430000000457e-03
2.280899999999999941e-02 5.289474369999998260e-03 2.958860805857142957e-03
2.298800000000000149e-02 5.141294864285715291e-03 3.114019492571428512e-03
2.316800000000000109e-02 5.329431695714286453e-03 2.967734299285713917e-03
2.334800000000000070e-02 4.820164475714283116e-03 3.128523562714285999e-03
2.352800000000000030e-02 5.412233551428569274e-03 3.439634867714285848e-03
2.370699999999999891e-02 5.454099631428573070e-03 3.112587286571428906e-03
2.388699999999999851e-02 4.566899792857142919e-03 2.960364604285714400e-03
2.406700000000000159e-02 4.658922407142855257e-03 2.867194998428571583e-03
2.424700000000000119e-02 4.780380094285711055e-03 2.826946373428570938e-03
2.442599999999999980e-02 5.408205171428571122e-03 3.156569513285714407e-03
2.460599999999999940e-02 5.193776167142858356e-03 2.899962178571428763e-03
2.478599999999999901e-02 6.699449512857141853e-03 4.206104500142857257e-03
2.496599999999999861e-02 6.646817008571429333e-03 5.812490750857142972e-03
2.514500000000000068e-02 4.118442029999999816e-03 2.865664640428571691e-03
2.532500000000000029e-02 4.264343419999998622e-03 2.874211180714285763e-03
2.550499999999999989e-02 4.588664375714284448e-03 2.954539056428571835e-03
2.568499999999999950e-02 5.043367222857143319e-03 2.930550532857143040e-03
2.586499999999999910e-02 5.227057478571430112e-03 3.011434627142856642e-03
2.604400000000000118e-02 4.513563794285714408e-03 2.759827731285714562e-03
2.622400000000000078e-02 4.537020552857142126e-03 2.987630445999999752e-03
2.640400000000000039e-02 4.396180125714287470e-03 2.736804738285714047e-03
2.658399999999999999e-02 5.061411592857141886e-03 3.277468697000000646e-03
2.676299999999999860e-02 3.967459730000000122e-03 2.693798971142856956e-03
2.694300000000000167e-02 3.764373378571428223e-03 2.843752791857143396e-03
2.712300000000000127e-02 4.283707458571430274e-03 2.863471201999999872e-03
2.730300000000000088e-02 4.116055465714287855e-03 2.712129879571428901e-03
2.748199999999999948e-02 3.958532597142855845e-03 2.495696509857143423e-03
2.766199999999999909e-02 4.650138017142859022e-03 2.821435186000000300e-03
2.784199999999999869e-02 3.720735408571426445e-03 3.083888406142856666e-03
2.802199999999999830e-02 4.417772651428570306e-03 2.548589700285714375e-03
2.820100000000000037e-02 3.642484965714284234e-03 2.453618489285714233e-03
2.838099999999999998e-02 3.854280482857143884e-03 2.803058246142856730e-03
2.856099999999999958e-02 4.565142759999999029e-03 2.798295844285714380e-03
2.874099999999999919e-02 4.201066280000000444e-03 2.667795243428571720e-03
2.892000000000000126e-02 3.978564547142858336e-03 2.691567142285714205e-03
2.910000000000000087e-02 4.267851114285714162e-03 2.839661321428571094e-03
2.928000000000000047e-02 4.179986308571424607e-03 2.631447328142856503e-03
2.946000000000000008e-02 3.242273635714283675e-03 2.976187447714286147e-03
2.963899999999999868e-02 3.925657024285714863e-03 3.257672573999999960e-03
2.981899999999999828e-02 3.900308327142857408e-03 3.057340009285714096e-03
2.999900000000000136e-02 3.461432812857144405e-03 2.390063850285714230e-03
3.017900000000000096e-02 3.385743729999999337e-03 2.381215755857142829e-03
3.035900000000000057e-02 3.890073024285710130e-03 2.271386791285714274e-03
3.053799999999999917e-02 3.978211797142854923e-03 2.439174197142856843e-03
3.071799999999999878e-02 3.665165437142855510e-03 2.579920257000000144e-03
3.089799999999999838e-02 4.323399499999996606e-03 2.783049662571428825e-03
3.107800000000000146e-02 4.205551962857142188e-03 2.668851630285713674e-03
3.125700000000000006e-02 3.067146854285712678e-03 2.475964039857142963e-03
3.143699999999999967e-02 2.665806045714287122e-03 2.757006256285714652e-03
3.161699999999999927e-02 3.229229404285712673e-03 2.212196753571428823e-03
3.179699999999999888e-02 3.565236118571425954e-03 2.608243050857143256e-03
3.197599999999999748e-02 3.158874538571429524e-03 2.674074169571428322e-03
3.215599999999999709e-02 2.891139705714284355e-03 2.498467272285714684e-03
3.233599999999999669e-02 2.768127072857143496e-03 2.480890905857142687e-03
3.251600000000000323e-02 3.329374099999998695e-03 2.978570520000000353e-03
3.269500000000000184e-02 3.345801937142856616e-03 3.255329629142857117e-03
3.287500000000000144e-02 2.690964854285712599e-03 2.687539598285714447e-03
3.305500000000000105e-02 2.596369884285714379e-03 2.601951217142856997e-03
3.323500000000000065e-02 3.234435154285713460e-03 2.918519309857142609e-03
3.341399999999999926e-02 3.422883584285711222e-03 2.777377691428571660e-03
3.359399999999999886e-02 3.770399035714285061e-03 2.412449469285714125e-03
3.377399999999999847e-02 3.709943061428569964e-03 2.332141312285714030e-03
3.395399999999999807e-02 3.149383894285714015e-03 2.346151892142857298e-03
3.413299999999999668e-02 3.288372041428569686e-03 2.428851573714285814e-03
3.431300000000000322e-02 2.862893967142854552e-03 2.649272103857142763e-03
3.449300000000000282e-02 2.904300764285713994e-03 2.309169954571428218e-03
3.467300000000000243e-02 2.504093287142856571e-03 2.239253128142857079e-03
3.485300000000000203e-02 2.862608042857143174e-03 2.535640709142856879e-03
3.503200000000000064e-02 2.620737627142856029e-03 2.152262165714285882e-03
3.521200000000000024e-02 2.764147951428570262e-03 2.479893565999999848e-03
3.539199999999999985e-02 3.189803002857142210e-03 2.464311100000000313e-03
3.557199999999999945e-02 3.071527674285712446e-03 2.362402247714285707e-03
3.575099999999999806e-02 2.937842200000001340e-03 2.575903464428571602e-03
3.593099999999999766e-02 2.965633125714284973e-03 2.453746195428571902e-03
3.611099999999999727e-02 3.242263127142859611e-03 2.318859889000000288e-03
3.629099999999999687e-02 3.121195544285713941e-03 2.286873455285714542e-03
3.647000000000000242e-02 2.998285215714284382e-03 2.476271261000000199e-03
3.665000000000000202e-02 2.525431294285712409e-03 2.269008205285714085e-03
3.683000000000000163e-02 2.385974920000001002e-03 2.290170687428571324e-03
3.701000000000000123e-02 2.086112819999999101e-03 2.464903150714285729e-03
3.718899999999999983e-02 2.222539958571428768e-03 2.426077764571428746e-03
3.736899999999999944e-02 1.953253298571428712e-03 2.294476544428571390e-03
3.754899999999999904e-02 2.373480999999999768e-03 2.142078368285714376e-03
3.772899999999999865e-02 2.777319204285712360e-03 2.023959090857142644e-03
3.790799999999999725e-02 3.064512829999999858e-03 2.133864827999999800e-03
3.808799999999999686e-02 2.963368364285713652e-03 2.455259351000000333e-03
3.826800000000000340e-02 2.829677405714286446e-03 2.221446609999999915e-03
3.844800000000000301e-02 3.476726098571429092e-03 2.917969625000000396e-03
3.862700000000000161e-02 4.157013331428573155e-03 3.185792018142857233e-03
3.880700000000000122e-02 3.140483488571428877e-03 2.510317568285714684e-03
3.898700000000000082e-02 2.401205049999999806e-03 2.220489619285714259e-03
3.916700000000000043e-02 2.163637621428570867e-03 2.185468522571428710e-03
3.934599999999999903e-02 2.693022191428570689e-03 2.466275198571428375e-03
3.952599999999999864e-02 2.729588242857142622e-03 2.134404508857142956e-03
3.970599999999999824e-02 2.885334704285713765e-03 2.200991712857142905e-03
3.988599999999999784e-02 2.906674055714283163e-03 2.168856089571428222e-03
4.006599999999999745e-02 3.026858014285712696e-03 2.204252636857142837e-03
4.024500000000000299e-02 2.985761011428572035e-03 2.228952296714285710e-03
4.042500000000000260e-02 2.473821320000000636e-03 2.467561344285714147e-03
4.060500000000000220e-02 2.441580341428572967e-03 2.067400041428571564e-03
4.078500000000000181e-02 2.432973932857142828e-03 2.012502872714286035e-03
4.096400000000000041e-02 2.495161007142855398e-03 2.408317085285714785e-03
