# q	i	err
1.238299999999999991e-02 4.513953708571428330e-02 7.751716231428572128e-03
1.256200000000000025e-02 4.424844245714285723e-02 5.959053500285713643e-03
1.274199999999999985e-02 4.171953924285713711e-02 6.987135570428571786e-03
1.292199999999999946e-02 3.945695580000000563e-02 6.439252244857142718e-03
1.310200000000000080e-02 3.907196707142857051e-02 6.541854108714285562e-03
1.328099999999999940e-02 3.865121070000000075e-02 6.981338428571427605e-03
1.346100000000000074e-02 3.562043377142857375e-02 7.433665394571429240e-03
1.364100000000000035e-02 3.507777811428571674e-02 6.357210141857143511e-03
1.382099999999999995e-02 3.529091768571428200e-02 5.356975424000000839e-03
1.400000000000000029e-02 3.356156432857142907e-02 6.030648757428571684e-03
1.417999999999999990e-02 3.241969848571428503e-02 5.829183427999999959e-03
1.435999999999999950e-02 3.195209838571428512e-02 5.460014149857144068e-03
1.454000000000000084e-02 3.165280872857142297e-02 4.728381045000000504e-03
1.471899999999999945e-02 3.098445739999999837e-02 4.090017318142857156e-03
1.489900000000000078e-02 2.970492110000000005e-02 4.827558002857143364e-03
1.507900000000000039e-02 2.964175215714285119e-02 5.836535600142856751e-03
1.525899999999999999e-02 2.971835121428571119e-02 6.088890152571428162e-03
1.543800000000000033e-02 2.860078114285714151e-02 5.014321060285714324e-03
1.561799999999999994e-02 2.782510024285714256e-02 4.801247508999999074e-03
1.579799999999999954e-02 2.808011140000000322e-02 5.943919159142856644e-03
1.597799999999999915e-02 2.688622311428571360e-02 5.210125766571428209e-03
1.615700000000000122e-02 2.588136907142857268e-02 3.684688835857142380e-03
1.633700000000000083e-02 2.529856367142857207e-02 4.201672396714285600e-03
1.651700000000000043e-02 2.477664857142857294e-02 3.882125234428570899e-03
1.669700000000000004e-02 2.423035449999999882e-02 4.073378894428571033e-03
1.687699999999999964e-02 2.382354891428571306e-02 4.390216425428571448e-03
1.705600000000000172e-02 2.382797540714285539e-02 3.706321049857142554e-03
1.723600000000000132e-02 2.335713090857142321e-02 3.945484468857143184e-03
1.741600000000000092e-02 2.260108339428571270e-02 4.489249933714285420e-03
1.759600000000000053e-02 2.257478505571428387e-02 4.381248886714285244e-03
1.777499999999999913e-02 2.263665658142857348e-02 3.469824543714285225e-03
1.795499999999999874e-02 2.186933195285714268e-02 3.490888475285714148e-03
1.813499999999999834e-02 2.139473410571428660e-02 4.053946205857142208e-03
1.831500000000000142e-02 2.113279579571428202e-02 4.517081720142856853e-03
1.849400000000000002e-02 2.138234726142856923e-02 2.966690494285714047e-03
1.867399999999999963e-02 2.080313980571428870e-02 3.262878868142856954e-03
1.885399999999999923e-02 1.992559301571428243e-02 3.039007022714285567e-03
1.903399999999999884e-02 1.970196123428571630e-02 3.514418670285714575e-03
1.921300000000000091e-02 1.898095616857143134e-02 2.749738460000000599e-03
1.939300000000000052e-02 1.935196226857142238e-02 2.622954273428571709e-03
1.957300000000000012e-02 1.879943600428571684e-02 2.585503997000000199e-03
1.975299999999999973e-02 1.839997296142856925e-02 2.949321102142857514e-03
1.993199999999999833e-02 1.825918054571428958e-02 3.140586064142857157e-03
2.011200000000000140e-02 1.840855708714286137e-02 2.894300316571428184e-03
2.029200000000000101e-02 1.735551124285713773e-02 3.310971966571427724e-03
2.047200000000000061e-02 1.729752035285713960e-02 3.050835118285714128e-03
2.065099999999999922e-02 1.727497811142857109e-02 2.667562079571428497e-03
2.083099999999999882e-02 1.630744452428571634e-02 2.793691313714285508e-03
2.101099999999999843e-02 1.614400054428571582e-02 2.474246868000000259e-03
2.119100000000000150e-02 1.662457315857143042e-02 2.665989966285714757e-03
2.137100000000000111e-02 1.478660535571428396e-02 2.329291686285714282e-03
2.154999999999999971e-02 1.549466284428571532e-02 2.475470634857142999e-03
2.172999999999999932e-02 1.552063582142857064e-02 2.441668665714285917e-03
2.190999999999999892e-02 1.507810411857142888e-02 2.649492617285714550e-03
2.208999999999999853e-02 1.568913399571428280e-02 2.379538173428571469e-03
2.226900000000000060e-02 1.595589489142857156e-02 2.166017968999999713e-03
2.244900000000000020e-02 1.506401235857142938e-02 2.277529505571428831e-03
2.262899999999999981e-02 1.422208480000000143e-02 2.294038467714285684e-03
2.280899999999999941e-02 1.465083439857142733e-02 2.578108840285714236e-03
2.298800000000000149e-02 1.484111694142857367e-02 2.309402252142857270e-03
2.316800000000000109e-02 1.459450196999999803e-02 2.295897941428571686e-03
2.334800000000000070e-02 1.385533817999999931e-02 2.633988624714285378e-03
2.352800000000000030e-02 1.417360865714285649e-02 2.013802973428571556e-03
2.370699999999999891e-02 1.361150701999999831e-02 1.933196810285714050e-03
2.388699999999999851e-02 1.359396561999999878e-02 2.032491120571428694e-03
2.406700000000000159e-02 1.384142960857142821e-02 2.110371371571428348e-03
2.424700000000000119e-02 1.360308142857142785e-02 1.849904335428571725e-03
2.442599999999999980e-02 1.298071611571428342e-02 1.955551415571428649e-03
2.460599999999999940e-02 1.255779398000000067e-02 1.989816777571428406e-03
2.478599999999999901e-02 1.274369626285714631e-02 1.965328584857142877e-03
