# q	i	err
1.328099999999999940e-02 8.384168290000000578e-02 9.428552306857143628e-03
1.346100000000000074e-02 8.388546074285714582e-02 1.455491566885714315e-02
1.364100000000000035e-02 8.346267987142856615e-02 1.759135000128571671e-02
1.382099999999999995e-02 7.786991818571428747e-02 1.137888231785714153e-02
1.400000000000000029e-02 7.481972021428570652e-02 6.198654697714286142e-03
1.417999999999999990e-02 7.279810091428572105e-02 6.222229065428572410e-03
1.435999999999999950e-02 7.044784984285713814e-02 5.784589889857143404e-03
1.454000000000000084e-02 6.877422442857142326e-02 6.326116416999999319e-03
1.471899999999999945e-02 6.666321184285714518e-02 6.622584716428571786e-03
1.489900000000000078e-02 6.457602624285714576e-02 7.865809299285713915e-03
1.507900000000000039e-02 6.275305394285714267e-02 6.789225367571427583e-03
1.525899999999999999e-02 6.198812607142856895e-02 6.254658704428571643e-03
1.543800000000000033e-02 6.066488550000000146e-02 6.493466805714285910e-03
1.561799999999999994e-02 5.878367365714284171e-02 5.467886717571428419e-03
1.579799999999999954e-02 5.718929661428571315e-02 5.513439935142856567e-03
1.597799999999999915e-02 5.551695002857142541e-02 5.968328832857141934e-03
1.615700000000000122e-02 5.443084784285713573e-02 5.586544164999999486e-03
1.633700000000000083e-02 5.377410518571428683e-02 5.553251768857142383e-03
1.651700000000000043e-02 5.147042615714286090e-02 5.511263004714286005e-03
1.669700000000000004e-02 4.963638652857143424e-02 6.107855690714285822e-03
1.687699999999999964e-02 4.773978761428571832e-02 5.652618886285714836e-03
1.705600000000000172e-02 4.755663331428570950e-02 5.392665568142857024e-03
1.723600000000000132e-02 4.640178741428572368e-02 3.994740367571429120e-03
1.741600000000000092e-02 4.559494321428571306e-02 4.922550151285715221e-03
1.759600000000000053e-02 4.427033761428571246e-02 5.243344502428570579e-03
1.777499999999999913e-02 4.317697255714285365e-02 5.141408571428571217e-03
1.795499999999999874e-02 4.173957692857143548e-02 4.084279743142856835e-03
1.813499999999999834e-02 4.133015664714285303e-02 4.299410500428571015e-03
1.831500000000000142e-02 4.106732745428570697e-02 4.564198576142856727e-03
1.849400000000000002e-02 3.977546323999999606e-02 4.048893539000000472e-03
1.867399999999999963e-02 3.824326488714285821e-02 4.164719589571428890e-03
1.885399999999999923e-02 3.751606360857143857e-02 4.553690633428571742e-03
1.903399999999999884e-02 3.688531665571428281e-02 4.100332744285713725e-03
1.921300000000000091e-02 3.558828074714286138e-02 3.597975023142856773e-03
1.939300000000000052e-02 3.493441254428571174e-02 3.970604057142857260e-03
1.957300000000000012e-02 3.330304285857142721e-02 3.837627923428571595e-03
1.975299999999999973e-02 3.345262909999999895e-02 3.726509884714286017e-03
1.993199999999999833e-02 3.309675780285713936e-02 3.421773707857143042e-03
2.011200000000000140e-02 3.205273575285714355e-02 2.916189381857142715e-03
2.029200000000000101e-02 3.108514396142857475e-02 3.046315005142856587e-03
2.047200000000000061e-02 3.026906121857142473e-02 2.892650564857143346e-03
2.065099999999999922e-02 2.948580031714286356e-02 3.249171498714285931e-03
2.083099999999999882e-02 2.916284755428571324e-02 3.474878509571428277e-03
2.101099999999999843e-02 2.859306265714285297e-02 3.348738510000000106e-03
2.119100000000000150e-02 2.759565264714285496e-02 3.462981923571428495e-03
2.137100000000000111e-02 2.719991933571428572e-02 2.959281681571428874e-03
2.154999999999999971e-02 2.643020939857142898e-02 2.581963263000000303e-03
2.172999999999999932e-02 2.558548104714285926e-02 2.675896151714286190e-03
2.190999999999999892e-02 2.487244535428571185e-02 2.961110287285714619e-03
2.208999999999999853e-02 2.471784940571428169e-02 2.710885770000000076e-03
2.226900000000000060e-02 2.422520849428571113e-02 2.431960422428571227e-03
2.244900000000000020e-02 2.389410109714286065e-02 2.775923400000000155e-03
2.262899999999999981e-02 2.333878367571428844e-02 2.262168712285714083e-03
2.280899999999999941e-02 2.223148464428571086e-02 1.938017232428571176e-03
2.298800000000000149e-02 2.201425477428571240e-02 2.221528699714285602e-03
2.316800000000000109e-02 2.173815609857143033e-02 2.372002304857142359e-03
2.334800000000000070e-02 2.171207093285714568e-02 2.368871619142857033e-03
2.352800000000000030e-02 2.079579102571428237e-02 2.204082849571428835e-03
2.370699999999999891e-02 2.005753235285714572e-02 2.263014841571428688e-03
2.388699999999999851e-02 1.945547835285714108e-02 2.130117944000000079e-03
2.406700000000000159e-02 1.923682881285714366e-02 2.535614406428571190e-03
2.424700000000000119e-02 1.901038636999999656e-02 1.944693735714285660e-03
2.442599999999999980e-02 1.843947937571428428e-02 2.255178257571428639e-03
2.460599999999999940e-02 1.825977840000000268e-02 2.304222698571428436e-03
2.478599999999999901e-02 1.767063032714285414e-02 2.648146492285714023e-03
2.496599999999999861e-02 1.714522218285714078e-02 2.699819532571429235e-03
2.514500000000000068e-02 1.691237685714285649e-02 2.633915340428571311e-03
2.532500000000000029e-02 1.681602554285714299e-02 2.153360622571428868e-03
2.550499999999999989e-02 1.666986105571428498e-02 2.612679056142857420e-03
2.568499999999999950e-02 1.614869428571428719e-02 2.483730677428571537e-03
2.586499999999999910e-02 1.545473324571428400e-02 2.370996926428571659e-03
2.604400000000000118e-02 1.522543635428571726e-02 2.442444307142857367e-03
2.622400000000000078e-02 1.472615443142857340e-02 2.104817875285714280e-03
2.640400000000000039e-02 1.405463154857142759e-02 1.931746181285714115e-03
2.658399999999999999e-02 1.382422990999999934e-02 1.639380261285714379e-03
2.676299999999999860e-02 1.464743163428571318e-02 1.815459051571428504e-03
